id,name,country,lat,long,usedstart,usedend
952,Carleton,CAN,48.1,-66.1333,6409,4298
954,Telukbetung,IDN,-5.45,105.2667,6411,431
956,Shell Haven,GBR,51.5089,0.4825,6413,4299
957,Onomichi,JPN,34.4,133.1833,6414,4073
962,Uno,JPN,34.4833,133.95,6422,5999
963,Antofagasta,CHL,-23.6575,-70.3969,6440,1300
964,Galveston,USA,29.3,-94.8,6477,1762
966,Halifax,CAN,44.6522,-63.5836,6510,223
976,Anacortes,USA,48.5167,-122.6167,6564,1540
977,Argentina,ARG,,,6570,4302
983,Mulgrave,CAN,45.5833,-61.3833,6571,3227
987,Ilo,PER,-17.6333,-71.35,6575,3031
988,Diamante,ARG,-32.0642,-60.632,6583,6117
991,New Amsterdam,GUY,6.25,-57.5167,6584,4303
992,Ako,JPN,34.7333,134.3833,6586,16461
996,Kingsnorth,GBR,51.417,0.6047,6590,5480
999,Carboneras,ESP,37,-1.8833,6601,4304
1000,Port Blair,IND,11.6667,92.7167,6606,21239
1001,Amamapare,IDN,-4.8256,136.8414,6608,117
1002,Port Hueneme,USA,34.1525,-119.2036,6622,29559
1012,Aberdeen(GBR),GBR,57.15,-2.0667,6623,36003
1015,Tadotsu,JPN,34.2833,133.7333,6624,27811
1017,Chimbote,PER,-9.0833,-78.6333,6630,3032
1018,Puerto Plata,DOM,19.8167,-70.7,6632,8641
1021,Lae,PNG,-6.7333,146.9833,6647,432
1026,Santos Anch.,BRA,-24.1231,-46.3186,6659,44
1044,Tagoloan,PHL,8.5333,124.75,6679,9668
1046,Nueva Palmira,URY,-33.8833,-58.4167,6683,45
1049,Avonmouth,GBR,51.5061,-2.7111,6714,8825
1053,La Libertad(ECU),ECU,-2.2167,-80.9167,6732,1301
1058,Little Cayman,CYM,19.6897,-80.0447,6761,2984
1061,Montrose,GBR,56.7019,-2.4695,6764,30206
1066,San Fernando(PHL),PHL,16.65,120.3167,6765,39307
1070,Ube,JPN,33.9514,131.2464,6766,24
1071,Tor Bay,GBR,50.4289,-3.522,6830,1797
1076,Thyboron,DNK,56.7,8.2167,6835,27766
1077,Scapa Flow,GBR,,,6836,20976
1080,Tarragona,ESP,41.1061,1.2228,6837,125
1084,Palawan Is.,PHL,9.5,118.5,6889,22437
1086,Les Mechins,CAN,49.0167,-66.9833,6890,36418
1088,Nigg Terminal,GBR,57.7,-4.0333,6891,7113
1096,Oristano,ITA,39.8667,8.55,6892,5252
1097,Vibo Valentia,ITA,38.7167,16.1333,6898,20038
1100,St. Louis du Rhone,FRA,43.3833,4.8167,6902,5799
1105,Gelendzhik,RUS,44.5667,38.1167,6903,17529
1107,Belize City,BLZ,17.4872,-88.2003,6904,2285
1110,Kitimat,CAN,54,-128.7,6915,13162
1113,La Plata,ARG,-34.8725,-57.9069,6919,3768
1114,Astakos,GRC,38.5333,21.0833,6931,4309
1126,Sumatera,IDN,,,6932,42148
1137,Samchonpo,KOR,34.9331,128.0536,6933,793
1138,Palamos,ESP,41.8444,3.1289,6961,4310
1139,Hiroshima,JPN,34.3603,132.435,6963,5454
1140,Montoir,FRA,47.3069,-2.1352,7006,126
1142,Torshavn,FRO,62.0061,-6.7739,7051,163
1143,Chiriqui Grande,PAN,8.9522,-82.1173,7055,37249
1144,Porto Empedocle,ITA,37.2833,13.5333,7056,1008
1146,Albany(USA),USA,42.65,-73.75,7066,32770
1149,Himekawa,JPN,37.0333,137.85,7067,693
1156,Woodfibre,CAN,49.6667,-123.25,7069,2047
1157,Sodertalje,SWE,59.2,17.6333,7070,8449
1159,Hososhima,JPN,32.45,131.6667,7076,3414
1160,Ellesmere Port,GBR,53.2833,-2.9,7111,371
1162,Asuncion,PRY,-25.2667,-57.6833,7115,24054
1163,Eikefet,NOR,60.7,5.55,7117,253
1164,Figueira da Foz,PRT,40.15,-8.8667,7123,1009
1165,Singapore,SGP,1.2689,103.8331,7124,25
1166,Singkawang,IDN,0.9167,108.9667,7735,7191
1171,Media Luna,CUB,20.1667,-77.4333,7736,4313
1173,Funakawa,JPN,39.8833,139.8667,7737,29613
1179,Bandar Imam Khomeini,IRN,30.4167,49.0667,7740,47
1182,Shanghai,CHN,31.25,121.5,7792,434
1194,Fort Lauderdale,USA,26.135,-80.1242,8065,4316
1199,Port Isabel(USA),USA,26.0628,-97.2198,8070,4317
1207,Mbao Terminal,SEN,14.7,-17.35,8071,33957
1211,Menominee,USA,45.1333,-87.6167,8072,11109
1216,Ma'anshan,CHN,31.8167,118.5333,no,7820
1219,Altamira,MEX,22.4817,-97.8841,8073,127
1220,Hafnarfjordur,ISL,64.0642,-21.9528,8140,254
1224,Haraholmen,SWE,65.2333,21.6333,8143,8149
1226,Lake Erie,CAN,42.2,-81.2,8145,14863
