id,flag,type,size,age,owner,operator
755944,GRC,Bulk,Handymax,<5,Union Marine Enterprises S.A.,Union Marine Enterprises S.A.
755946,BHS,Bulk,Handymax,<5,Notias Family,Independence Maritime Agency Incorporated
755948,BHS,Bulk,Handymax,<5,Notias Family,Independence Maritime Agency Incorporated
755949,MHL,Bulk,Handymax,<5,George Giouroukos group of companies,Technomar Shipping Incorporated
755953,TUR,Bulk,Handymax,<5,Ahmet Bedri Ince Armatorluk ve Nakliyat A.S.,Ince Denizcilik ve Ticaret A.S.
755958,PAN,Bulk,Handymax,<5,Korea Line Corporation,Kwangyang Marine Company Limited
755966,PAN,Bulk,Handymax,<5,Korea Ship Finance Company Limited (KSF),Korea Ship Finance Company Limited (KSF)
755970,BHS,Bulk,Handymax,<5,Notias Family,Independence Maritime Agency Incorporated
755973,BHS,Bulk,Handymax,<5,Saint Michael Shipping Company Limited,Saint Michael Shipping Company Limited
755979,PAN,Bulk,Handymax,<5,Korea Ship Finance Company Limited (KSF),Korea Ship Finance Company Limited (KSF)
755988,PAN,Bulk,Handymax,<5,Edem Marine S.A.,Edem Marine S.A.
756047,HKG,Bulk,Handymax,<5,Stellar Ocean Transport LLC,Stellar Ocean Transport LLC
756060,HKG,Bulk,Handymax,<5,Stellar Ocean Transport LLC,Stellar Ocean Transport LLC
756065,MHL,Bulk,Handymax,<5,Lykiardopulo & Company Limited,Lykiardopulo & Company Limited
756075,MHL,Bulk,Capesize,<5,Alma Maritime Limited,Empire Bulkers Limited
756084,MHL,Bulk,Capesize,<5,Alma Maritime Limited,Empire Navigation Incorporated
756462,PAN,Bulk,Capesize,<5,Navios Maritime Holdings Incorporated,Navios Corporation
756465,MLT,Bulk,Capesize,<5,Navios Maritime Holdings Incorporated,Kleimar N.V.
756467,MLT,Bulk,Capesize,<5,Chandris Group,Chandris (Hellas) Incorporated
756621,LBR,Bulk,Capesize,<5,Osaka Shipping Company Limited,Osaka Shipping Company Limited
756732,MHL,Bulk,Handymax,<5,Eagle Bulk Shipping Incorporated,Eagle Shipping International (USA) LLC
756739,GRC,Bulk,Capesize,<5,The Angelicoussis Group,Anangel Maritime Services Incorporated
756760,MHL,Bulk,Handymax,<5,Eagle Bulk Shipping Incorporated,Eagle Shipping International (USA) LLC
756766,MHL,Bulk,Handymax,<5,Eagle Bulk Shipping Incorporated,Eagle Shipping International (USA) LLC
756771,MHL,Bulk,Handymax,<5,Eagle Bulk Shipping Incorporated,Eagle Shipping International (USA) LLC
756775,MHL,Bulk,Handymax,<5,Eagle Bulk Shipping Incorporated,Eagle Bulk Shipping Incorporated
756776,MHL,Bulk,Handymax,<5,Eagle Bulk Shipping Incorporated,Eagle Bulk Shipping Incorporated
756779,MHL,Bulk,Handymax,<5,Eagle Bulk Shipping Incorporated,Eagle Shipping International (USA) LLC
756784,MHL,Bulk,Handymax,<5,Eagle Bulk Shipping Incorporated,Eagle Bulk Shipping Incorporated
756787,MHL,Bulk,Handymax,<5,Eagle Bulk Shipping Incorporated,Eagle Shipping International (USA) LLC
756803,MHL,Bulk,Handymax,<5,Eagle Bulk Shipping Incorporated,Eagle Bulk Shipping Incorporated
756804,HKG,Bulk,Capesize,<5,Hebei Ocean Shipping Company Limited (HOSCO),North China Shipping Holdings Company Limited
756805,MHL,Bulk,Handymax,<5,Eagle Bulk Shipping Incorporated,Eagle Shipping International (USA) LLC
756806,MHL,Bulk,Handymax,<5,Eagle Bulk Shipping Incorporated,Eagle Shipping International (USA) LLC
756808,HKG,Bulk,Capesize,<5,Mayfair Hong Kong Limited,Mayfair Hong Kong Limited
756810,HKG,Bulk,Capesize,<5,Hebei Ocean Shipping Company Limited (HOSCO),Hebei Ocean Shipping Company Limited (HOSCO)
756811,MHL,Bulk,Handymax,<5,Eagle Bulk Shipping Incorporated,Eagle Bulk Shipping Incorporated
756812,HKG,Bulk,Capesize,<5,Hebei Ocean Shipping Company Limited (HOSCO),Hebei Ocean Shipping Company Limited (HOSCO)
756813,HKG,Bulk,Capesize,<5,Mayfair Hong Kong Limited,Mayfair Hong Kong Limited
756814,MHL,Bulk,Handymax,<5,Eagle Bulk Shipping Incorporated,Eagle Bulk Shipping Incorporated
756815,HKG,Bulk,Capesize,<5,Mayfair Hong Kong Limited,Mayfair Hong Kong Limited
756820,MHL,Bulk,Handymax,<5,Eagle Bulk Shipping Incorporated,Eagle Shipping International (USA) LLC
756823,MHL,Bulk,Handymax,<5,Eagle Bulk Shipping Incorporated,Eagle Bulk Shipping Incorporated
756824,MHL,Bulk,Handymax,<5,Eagle Bulk Shipping Incorporated,Eagle Bulk Shipping Incorporated
756839,HKG,Bulk,Capesize,<5,Ship Finance International Limited,Ship Finance International Limited
756849,HKG,Bulk,Capesize,<5,Ship Finance International Limited,Ship Finance International Limited
756853,HKG,Bulk,Capesize,<5,Ship Finance International Limited,Ship Finance International Limited
