VESSEL ID,VESSEL_NAME,VESSEL_TYPE,PLACE_NAME,COUNTRY_NAME,AREA_NAME,ARRIVAL_DATE,DEPARTURE_DATE
246212,MSC Erminia,fully cellular containership,Gibraltar,Gibraltar,European Mediterranean coast,9/8/11,9/8/11
246212,MSC Erminia,fully cellular containership,Valencia,Spain,European Mediterranean coast,9/9/11,9/10/11
246212,MSC Erminia,fully cellular containership,La Spezia,Italy,European Mediterranean coast,9/11/11,9/11/11
246212,MSC Erminia,fully cellular containership,Barcelona,Spain,European Mediterranean coast,9/13/11,9/13/11
246212,MSC Erminia,fully cellular containership,Valencia,Spain,European Mediterranean coast,9/14/11,9/15/11
246212,MSC Erminia,fully cellular containership,Gibraltar,Gibraltar,European Mediterranean coast,9/16/11,9/16/11
246212,MSC Erminia,fully cellular containership,Casablanca,Morocco,North African coast,9/17/11,9/19/11
246212,MSC Erminia,fully cellular containership,Sines,Portugal,Spain / Portugal inc Atlantic Islands,9/20/11,9/24/11
246212,MSC Erminia,fully cellular containership,Montreal,Canada,N.E. Canada and Great Lakes,10/1/11,10/6/11
246212,MSC Erminia,fully cellular containership,Gibraltar,Gibraltar,European Mediterranean coast,10/13/11,10/13/11
246212,MSC Erminia,fully cellular containership,La Spezia,Italy,European Mediterranean coast,10/16/11,10/16/11
246212,MSC Erminia,fully cellular containership,Barcelona,Spain,European Mediterranean coast,10/18/11,10/18/11
246212,MSC Erminia,fully cellular containership,Valencia,Spain,European Mediterranean coast,10/18/11,10/19/11
246212,MSC Erminia,fully cellular containership,Gibraltar,Gibraltar,European Mediterranean coast,10/21/11,10/21/11
246212,MSC Erminia,fully cellular containership,Casablanca,Morocco,North African coast,10/21/11,10/24/11
246212,MSC Erminia,fully cellular containership,Gibraltar,Gibraltar,European Mediterranean coast,10/24/11,10/24/11
246212,MSC Erminia,fully cellular containership,Gioia Tauro,Italy,European Mediterranean coast,10/27/11,10/27/11
246212,MSC Erminia,fully cellular containership,Valencia,Spain,European Mediterranean coast,10/29/11,10/30/11
246212,MSC Erminia,fully cellular containership,Gibraltar,Gibraltar,European Mediterranean coast,10/31/11,10/31/11
246212,MSC Erminia,fully cellular containership,Sines,Portugal,Spain / Portugal inc Atlantic Islands,11/1/11,11/2/11
246212,MSC Erminia,fully cellular containership,Montreal,Canada,N.E. Canada and Great Lakes,11/10/11,11/12/11
246212,MSC Erminia,fully cellular containership,Gibraltar,Gibraltar,European Mediterranean coast,11/19/11,11/19/11
246212,MSC Erminia,fully cellular containership,Valencia,Spain,European Mediterranean coast,11/21/11,11/23/11
246212,MSC Erminia,fully cellular containership,La Spezia,Italy,European Mediterranean coast,11/25/11,11/25/11
246212,MSC Erminia,fully cellular containership,Valencia,Spain,European Mediterranean coast,11/27/11,11/27/11
246212,MSC Erminia,fully cellular containership,Casablanca,Morocco,North African coast,11/29/11,12/1/11
246212,MSC Erminia,fully cellular containership,Gibraltar,Gibraltar,European Mediterranean coast,12/1/11,12/1/11
246212,MSC Erminia,fully cellular containership,Valencia,Spain,European Mediterranean coast,12/2/11,12/3/11
246212,MSC Erminia,fully cellular containership,Barcelona,Spain,European Mediterranean coast,12/4/11,12/4/11
246212,MSC Erminia,fully cellular containership,La Spezia,Italy,European Mediterranean coast,12/5/11,12/6/11
246212,MSC Erminia,fully cellular containership,Valencia,Spain,European Mediterranean coast,12/7/11,12/8/11
246212,MSC Erminia,fully cellular containership,Gibraltar,Gibraltar,European Mediterranean coast,12/8/11,12/8/11
246212,MSC Erminia,fully cellular containership,Casablanca,Morocco,North African coast,12/9/11,12/13/11
246212,MSC Erminia,fully cellular containership,Valencia,Spain,European Mediterranean coast,12/14/11,12/15/11
246212,MSC Erminia,fully cellular containership,Barcelona,Spain,European Mediterranean coast,12/15/11,12/16/11
246212,MSC Erminia,fully cellular containership,La Spezia,Italy,European Mediterranean coast,12/17/11,12/18/11
246212,MSC Erminia,fully cellular containership,Valencia,Spain,European Mediterranean coast,12/21/11,12/22/11
246212,MSC Erminia,fully cellular containership,Gibraltar,Gibraltar,European Mediterranean coast,12/23/11,12/23/11
246212,MSC Erminia,fully cellular containership,Casablanca,Morocco,North African coast,12/23/11,12/26/11
246212,MSC Erminia,fully cellular containership,Gibraltar,Gibraltar,European Mediterranean coast,12/26/11,12/26/11
246212,MSC Erminia,fully cellular containership,Valencia,Spain,European Mediterranean coast,12/28/11,12/28/11
246212,MSC Erminia,fully cellular containership,Barcelona,Spain,European Mediterranean coast,12/29/11,12/30/11
246212,MSC Erminia,fully cellular containership,La Spezia,Italy,European Mediterranean coast,12/31/11,1/2/12
281642,Hub Gallardo,fully cellular containership,Lae,Papua New Guinea,"Australia, New Zealand, New Guinea etc",12/23/10,1/4/11
281642,Hub Gallardo,fully cellular containership,Miri,Malaysia,"Vietnam, Thailand, Malaysia and Indonesia",1/4/11,1/9/11
281642,Hub Gallardo,fully cellular containership,Singapore,Republic of Singapore,"Vietnam, Thailand, Malaysia and Indonesia",1/11/11,1/11/11
281642,Hub Gallardo,fully cellular containership,Port Klang,Malaysia,"Vietnam, Thailand, Malaysia and Indonesia",1/13/11,1/14/11
281642,Hub Gallardo,fully cellular containership,Port Moresby,Papua New Guinea,"Australia, New Zealand, New Guinea etc",1/23/11,1/24/11
281642,Hub Gallardo,fully cellular containership,Miri,Malaysia,"Vietnam, Thailand, Malaysia and Indonesia",2/9/11,2/10/11
281642,Hub Gallardo,fully cellular containership,Singapore,Republic of Singapore,"Vietnam, Thailand, Malaysia and Indonesia",2/12/11,2/12/11
281642,Hub Gallardo,fully cellular containership,Port Klang,Malaysia,"Vietnam, Thailand, Malaysia and Indonesia",2/13/11,2/13/11
281642,Hub Gallardo,fully cellular containership,Port Moresby,Papua New Guinea,"Australia, New Zealand, New Guinea etc",2/22/11,2/23/11
281642,Hub Gallardo,fully cellular containership,Lae,Papua New Guinea,"Australia, New Zealand, New Guinea etc",2/26/11,2/27/11
281642,Hub Gallardo,fully cellular containership,Miri,Malaysia,"Vietnam, Thailand, Malaysia and Indonesia",3/11/11,3/11/11
281642,Hub Gallardo,fully cellular containership,Singapore,Republic of Singapore,"Vietnam, Thailand, Malaysia and Indonesia",3/14/11,3/16/11
281642,Hub Gallardo,fully cellular containership,Port Klang,Malaysia,"Vietnam, Thailand, Malaysia and Indonesia",3/16/11,3/26/11
281642,Hub Gallardo,fully cellular containership,Port Klang,Malaysia,"Vietnam, Thailand, Malaysia and Indonesia",3/31/11,4/1/11
281642,Hub Gallardo,fully cellular containership,Port Klang,Malaysia,"Vietnam, Thailand, Malaysia and Indonesia",4/3/11,4/5/11
281642,Hub Gallardo,fully cellular containership,Port Klang,Malaysia,"Vietnam, Thailand, Malaysia and Indonesia",4/8/11,4/9/11
281642,Hub Gallardo,fully cellular containership,Port Klang,Malaysia,"Vietnam, Thailand, Malaysia and Indonesia",4/13/11,4/15/11
281642,Hub Gallardo,fully cellular containership,Port Klang,Malaysia,"Vietnam, Thailand, Malaysia and Indonesia",4/21/11,4/22/11
281642,Hub Gallardo,fully cellular containership,Port Klang,Malaysia,"Vietnam, Thailand, Malaysia and Indonesia",4/28/11,4/29/11
